"word","freq"
"the",71383
"and",45927
"for",13385
"that",10190
"with",7787
"bibl",7622
"digital",7508
"this",7012
"are",6760
"from",5871
"data",5060
"humanities",4418
"text",4141
"research",4015
"can",3690
"which",3624
"will",3533
"have",3313
"these",3264
"their",3168
"our",3055
"not",2949
"project",2791
"has",2773
"figure",2704
"university",2656
"new",2508
"also",2435
"analysis",2423
"such",2347
"more",2275
"how",2244
"but",2226
"keywords",2215
"work",2193
"was",2176
"other",2161
"between",2096
"2016",2065
"its",2017
"information",2000
"they",1958
"div",1951
"one",1923
"into",1842
"author",1824
"been",1810
"using",1796
"que",1792
"use",1741
"texts",1702
"through",1698
"different",1697
"history",1652
"all",1634
"about",1623
"were",1612
"each",1577
"used",1560
"2014",1559
"ref",1548
"persname",1445
"corpus",1425
"social",1420
"tools",1414
"2013",1382
"cultural",1372
"projects",1369
"first",1367
"language",1357
"what",1346
"historical",1344
"two",1312
"both",1311
"los",1285
"words",1261
"cell",1251
"time",1248
"most",1247
"2015",1239
"well",1228
"literary",1209
"methods",1206
"within",1196
"only",1190
"results",1190
"network",1186
"word",1184
"study",1175
"row",1165
"some",1164
"2012",1159
"•",1153
"studies",1148
"model",1146
"las",1137
"2017",1134
"students",1120
"paper",1117
"back",1115
"than",1112
"many",1087
"scholars",1079
"schemeconftool",1072
"del",1060
"knowledge",1059
"approach",1050
"tei",1045
"des",1023
"access",1008
"example",1003
"application",1000
"development",989
"pthe",986
"while",985
"press",984
"may",982
"them",980
"there",965
"graphic",959
"based",956
"available",954
"when",953
"over",951
"web",949
"process",948
"listbibl",942
"see",935
"library",933
"edition",920
"number",906
"2011",905
"media",895
"documents",882
"online",878
"address",877
"system",871
"community",865
"open",858
"users",844
"those",836
"who",824
"however",811
"renditalic",807
"where",803
"same",800
"document",798
"design",794
"public",792
"across",782
"like",781
"set",772
"collection",769
"para",769
"provide",760
"collections",757
"early",757
"resources",757
"les",754
"scholarship",751
"tool",750
"would",750
"then",747
"conference",747
"image",747
"content",746
"images",745
"scholarly",741
"metadata",740
"order",740
"researchers",735
"accessed",732
"part",731
"works",731
"body",729
"literature",726
"models",726
"database",725
"learning",722
"way",718
"support",717
"user",717
"international",715
"topic",714
"specific",713
"case",708
"often",707
"art",706
"technology",703
"questions",697
"reading",696
"visualization",695
"developed",691
"including",680
"science",677
"software",675
"particular",674
"computational",673
"2010",671
"una",671
"search",658
"textual",658
"could",658
"world",655
"authors",654
"possible",653
"large",651
"modern",649
"three",645
"bibliography",645
"context",643
"networks",643
"present",642
"own",641
"practices",641
"features",638
"important",638
"make",637
"visual",634
"2009",632
"english",632
"his",629
"place",629
"create",615
"ways",609
"out",606
"method",604
"con",602
"archive",599
"characters",597
"xml",596
"note",596
"people",594
"approaches",589
"century",580
"even",577
"rendbold",576
"annotation",574
"any",572
"american",571
"list",569
"space",568
"years",566
"heritage",565
"sources",565
"working",565
"form",564
"very",563
"semantic",563
"como",562
"further",559
"second",557
"computer",555
"materials",555
"books",553
"related",552
"allows",550
"multiple",550
"focus",547
"teiheader",538
"national",537
"appinfo",536
"editionstmt",536
"encodingdesc",536
"filedesc",536
"profiledesc",536
"publicationstmt",536
"sourcedesc",536
"textclass",536
"titlestmt",536
"being",531
"culture",529
"future",528
"various",527
"made",527
"critical",526
"because",526
"several",525
"por",524
"systems",517
"archives",515
"given",515
"experience",514
"linked",509
"rather",509
"might",508
"character",507
"include",506
"thus",505
"topics",504
"map",504
"technologies",504
"during",502
"field",501
"terms",501
"understanding",500
"group",499
"book",499
"workshop",499
"structure",498
"platform",497
"journal",493
"processing",493
"types",493
"issues",492
"writing",490
"since",489
"material",485
"source",485
"should",484
"eds",482
"among",478
"interface",478
"published",472
"typebibliogr",471
"individual",471
"much",470
"around",468
"table",467
"challenges",467
"western",466
"communities",466
"level",465
"need",464
"human",462
"original",461
"techniques",460
"potential",460
"linguistic",460
"practice",459
"institutions",457
"had",456
"languages",455
"objects",453
"does",451
"existing",450
"united",450
"similar",449
"current",445
"provides",445
"complex",443
"academic",443
"london",438
"able",437
"collaboration",435
"libraries",435
"2008",434
"general",433
"theory",433
"publishing",431
"change",430
"together",427
"production",427
"training",425
"pin",423
"created",422
"york",422
"music",419
"period",417
"2007",416
"help",416
"narrative",415
"mapping",415
"common",413
"small",409
"poetry",409
"identify",408
"now",404
"technical",404
"shows",404
"introduction",403
"course",402
"representation",401
"without",401
"collaborative",401
"making",400
"creation",399
"state",398
"computing",398
"explore",396
"written",395
"records",395
"building",395
"novels",393
"allow",392
"traditional",392
"creating",392
"editions",391
"interest",390
"means",390
"states",389
"participants",389
"point",387
"modeling",385
"patterns",385
"presentation",385
"maps",385
"question",385
"center",384
"groups",384
"another",383
"2006",382
"typediv1",381
"range",380
"forms",380
"version",379
"single",375
"still",375
"pfigure",374
"concepts",374
"entities",374
