"ssh.id","ssh.label","tapor.id","wd.item","wd.item.tadirah","tadirah.uri"
"589","oeIlIk","Pattern","1207","Q47405152","Q61466324","https://vocabs.dariah.eu/tadirah/webCrawling"
"590","xGOwaf","Pattern (CLiPS)","204","Q47405152","Q4417999","https://vocabs.dariah.eu/tadirah/networkAnalysis"
"591","xGOwaf","Pattern (CLiPS)","204","Q47405152","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"592","xGOwaf","Pattern (CLiPS)","204","Q47405152","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"593","xGOwaf","Pattern (CLiPS)","204","Q47405152","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"594","xGOwaf","Pattern (CLiPS)","204","Q47405152","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"595","9eevcl","PC-KIMMO","211",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"596","9eevcl","PC-KIMMO","211",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"597","nfEI7l","PDB-trained dependency parsing models for Polish","1582",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"598","nfEI7l","PDB-trained dependency parsing models for Polish","1582",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"599","nfEI7l","PDB-trained dependency parsing models for Polish","1582",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"600","P928Fj","PDFCreator","1278","Q1143775","Q1783551","https://vocabs.dariah.eu/tadirah/converting"
"601","OjmFqc","PDF expert","1613","Q29364603","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"602","OjmFqc","PDF expert","1613","Q29364603","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"603","OjmFqc","PDF expert","1613","Q29364603","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"604","OjmFqc","PDF expert","1613","Q29364603","Q123783460","https://vocabs.dariah.eu/tadirah/commenting"
"605","gF2CjH","PDF Extract","1041",NA,NA,NA
"606","SXoKhG","PDFMiner","1277","Q107382944","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"607","SXoKhG","PDFMiner","1277","Q107382944","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"608","1Hndu1","PDFmyURL","1276",NA,"Q1783551","https://vocabs.dariah.eu/tadirah/converting"
"609","1Hndu1","PDFmyURL","1276",NA,"Q61466324","https://vocabs.dariah.eu/tadirah/webCrawling"
"610","1Hndu1","PDFmyURL","1276",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"611","kdp7gj","PDFsam (PDF Split and Merge)","1275","Q3898451","Q1783551","https://vocabs.dariah.eu/tadirah/converting"
"612","kdp7gj","PDFsam (PDF Split and Merge)","1275","Q3898451","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"613","kdp7gj","PDFsam (PDF Split and Merge)","1275","Q3898451","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"614","wpPk4I","Pdftk (PDF Toolkit)","1274","Q307465","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"615","wpPk4I","Pdftk (PDF Toolkit)","1274","Q307465","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"616","20Uzsv","Pear Note","913",NA,NA,NA
"617","4FJUEp","PeerTube",NA,NA,NA,NA
"618","IYoYXH","PeriodO",NA,NA,NA,NA
"619","KmAwe6","Perl","1252","Q42478","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"620","KmAwe6","Perl","1252","Q42478","Q80006","https://vocabs.dariah.eu/tadirah/programming"
"621","KmAwe6","Perl","1252","Q42478","Q386275","https://vocabs.dariah.eu/tadirah/webDevelopment"
"622","qJOq50","Personal Brain","1126",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"623","qJOq50","Personal Brain","1126",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"624","kBjYmC","PhiloGL","94",NA,"Q1116876","https://vocabs.dariah.eu/tadirah/modeling"
"625","kBjYmC","PhiloGL","94",NA,"Q1938983","https://vocabs.dariah.eu/tadirah/spatialAnalysis"
"626","kBjYmC","PhiloGL","94",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"627","kBjYmC","PhiloGL","94",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"628","kBjYmC","PhiloGL","94",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"629","kBjYmC","PhiloGL","94",NA,"Q15756478","https://vocabs.dariah.eu/tadirah/interpreting"
"630","kBjYmC","PhiloGL","94",NA,"Q123783456","https://vocabs.dariah.eu/tadirah/relationalAnalysis"
"631","1WR8SJ","PhiloLogic","167",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"632","1WR8SJ","PhiloLogic","167",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"633","1WR8SJ","PhiloLogic","167",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"634","1WR8SJ","PhiloLogic","167",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"635","1WR8SJ","PhiloLogic","167",NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"636","1WR8SJ","PhiloLogic","167",NA,"Q1624679","https://vocabs.dariah.eu/tadirah/comparing"
"637","G1CSWj","Phonographic Resources of Polish Traditional Music",NA,NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"638","G1CSWj","Phonographic Resources of Polish Traditional Music",NA,NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"639","G1CSWj","Phonographic Resources of Polish Traditional Music",NA,NA,"Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"640","G1CSWj","Phonographic Resources of Polish Traditional Music",NA,NA,"Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"641","G1CSWj","Phonographic Resources of Polish Traditional Music",NA,NA,"Q516508","https://vocabs.dariah.eu/tadirah/browsing"
"642","dT7eZx","Photogrammar","816",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"643","dT7eZx","Photogrammar","816",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"644","mPqvA9","PhotoScore","1348",NA,"Q1783551","https://vocabs.dariah.eu/tadirah/converting"
"645","mPqvA9","PhotoScore","1348",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"646","BY7uGK","Photoshop Express","1496","Q360363","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"647","BY7uGK","Photoshop Express","1496","Q360363","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"648","BY7uGK","Photoshop Express","1496","Q360363","Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"649","BY7uGK","Photoshop Express","1496","Q360363","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"650","BY7uGK","Photoshop Express","1496","Q360363","Q1172378","https://vocabs.dariah.eu/tadirah/dataCleansing"
"651","BY7uGK","Photoshop Express","1496","Q360363","Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"652","BY7uGK","Photoshop Express","1496","Q360363","Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"653","BY7uGK","Photoshop Express","1496","Q360363","Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"654","BY7uGK","Photoshop Express","1496","Q360363","Q12713609","https://vocabs.dariah.eu/tadirah/imaging"
"655","zwSsEe","Piazza","967",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"656","zwSsEe","Piazza","967",NA,"Q352842","https://vocabs.dariah.eu/tadirah/teaching"
"657","fklI3W","Picasa Web Albums","1494","Q1047941","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"658","fklI3W","Picasa Web Albums","1494","Q1047941","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"659","fklI3W","Picasa Web Albums","1494","Q1047941","Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"660","fklI3W","Picasa Web Albums","1494","Q1047941","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"661","fklI3W","Picasa Web Albums","1494","Q1047941","Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"662","fklI3W","Picasa Web Albums","1494","Q1047941","Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"663","uwgrun","Picnik","1493","Q1114200","Q1172378","https://vocabs.dariah.eu/tadirah/dataCleansing"
"664","qYgQCK","Pictor: A Discovery Tool for IIIF Manifests",NA,NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"665","qYgQCK","Pictor: A Discovery Tool for IIIF Manifests",NA,NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"666","EBBe1y","Piktochart","1659","Q17074977","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"667","EBBe1y","Piktochart","1659","Q17074977","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"668","E9dIJj","Pinboard","1052","Q7194874","Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"669","E9dIJj","Pinboard","1052","Q7194874","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"670","E9dIJj","Pinboard","1052","Q7194874","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"671","E9dIJj","Pinboard","1052","Q7194874","Q632897","https://vocabs.dariah.eu/tadirah/preserving"
"672","E9dIJj","Pinboard","1052","Q7194874","Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"673","YoAIOZ","Pipes","1267","Q908747","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"674","YoAIOZ","Pipes","1267","Q908747","Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"675","QYBkQY","Pivotal Tracker","852",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"676","AQc2KU","Pix4D",NA,NA,NA,NA
"677","xdN9nn","Pix4Dcapture: Free drone flight planning mobile app",NA,NA,NA,NA
"678","ZFi3SA","Pixlr online photo editor","839","Q3560555","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"679","ZFi3SA","Pixlr online photo editor","839","Q3560555","Q12713609","https://vocabs.dariah.eu/tadirah/imaging"
"680","ZFi3SA","Pixlr online photo editor","839","Q3560555","Q386275","https://vocabs.dariah.eu/tadirah/webDevelopment"
"681","f6f0lW","PLATIN","641",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"682","f6f0lW","PLATIN","641",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"683","f6f0lW","PLATIN","641",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"684","f6f0lW","PLATIN","641",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"685","f6f0lW","PLATIN","641",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"686","yDHFPk","PL/C","490","Q7119554","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"687","yDHFPk","PL/C","490","Q7119554","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"688","ysavNq","Pleiades: A community-built gazetteer and graph of ancient places",NA,NA,NA,NA
"689","9AZIPP","PL/I","275","Q223433","Q80006","https://vocabs.dariah.eu/tadirah/programming"
"690","9AZIPP","PL/I","275","Q223433","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"691","9AZIPP","PL/I","275","Q223433","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"692","9AZIPP","PL/I","275","Q223433","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"693","9AZIPP","PL/I","275","Q223433","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"694","EADkuF","Pliny","343",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"695","EADkuF","Pliny","343",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"696","EADkuF","Pliny","343",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"697","EADkuF","Pliny","343",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"698","EADkuF","Pliny","343",NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"699","EADkuF","Pliny","343",NA,"Q194105","https://vocabs.dariah.eu/tadirah/editing"
"700","EADkuF","Pliny","343",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"701","EADkuF","Pliny","343",NA,"Q15756478","https://vocabs.dariah.eu/tadirah/interpreting"
"702","EADkuF","Pliny","343",NA,"Q123783454","https://vocabs.dariah.eu/tadirah/contextualizing"
"703","EADkuF","Pliny","343",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"704","WscQrC","Plone","1253","Q924422","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"705","WscQrC","Plone","1253","Q924422","Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"706","WscQrC","Plone","1253","Q924422","Q632897","https://vocabs.dariah.eu/tadirah/preserving"
"707","WscQrC","Plone","1253","Q924422","Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"708","WscQrC","Plone","1253","Q924422","Q386275","https://vocabs.dariah.eu/tadirah/webDevelopment"
"709","tqiZaF","plot.ly","830","Q17146476","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"710","tqiZaF","plot.ly","830","Q17146476","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"711","hif5JG","Plotting Characteristic Curve of Word Lengths","656",NA,NA,NA
"712","f5cwKZ","Plotting Distribution","657",NA,NA,NA
"713","CAVZ0l","Plotting Word Frequency","658",NA,NA,NA
"714","YpEya1","Pocket","972","Q3916680","Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"715","eIZ4fu","Poem Viewer","469",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"716","eIZ4fu","Poem Viewer","469",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"717","eIZ4fu","Poem Viewer","469",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"718","fxiQ6O","PolIReS IFAC-CNR - Polimers Infrared Reflectance Spectra database",NA,NA,NA,NA
"719","Gmf0lQ","Polish Literary Bibliography (PBL)",NA,NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"720","wjrOe2","Polldaddy","825",NA,"Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"721","wjrOe2","Polldaddy","825",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"722","wjrOe2","Polldaddy","825",NA,"Q11024","https://vocabs.dariah.eu/tadirah/communicating"
"723","wjrOe2","Polldaddy","825",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"724","wjrOe2","Polldaddy","825",NA,"Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"725","wjrOe2","Polldaddy","825",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"726","pmlvk0","PolyAnalyst","1532","Q105319881","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"727","pmlvk0","PolyAnalyst","1532","Q105319881","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"728","pmlvk0","PolyAnalyst","1532","Q105319881","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"729","pmlvk0","PolyAnalyst","1532","Q105319881","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"730","RRK5fb","Polymaps","1053",NA,NA,NA
"731","rlmLKL","PolyMeta","1076","Q1238722","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"732","nMQvVs","Pompamo","234",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"733","nMQvVs","Pompamo","234",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"734","nMQvVs","Pompamo","234",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"735","ufjhcM","Popoto.js","572",NA,"Q4417999","https://vocabs.dariah.eu/tadirah/networkAnalysis"
"736","ufjhcM","Popoto.js","572",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"737","ufjhcM","Popoto.js","572",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"738","ufjhcM","Popoto.js","572",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"739","GPju8G","popplet","1315","Q106143056",NA,NA
"740","2tO2SM","Portal Znameniti.hr",NA,NA,"Q28195064","https://vocabs.dariah.eu/tadirah/finding"
"741","JlBnTe","Posterous Spaces","1323",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"742","JlBnTe","Posterous Spaces","1323",NA,"Q21124681","https://vocabs.dariah.eu/tadirah/blogging"
"743","JlBnTe","Posterous Spaces","1323",NA,"Q92438","https://vocabs.dariah.eu/tadirah/microblogging"
"744","bkmFy7","PostgreSQL","1259","Q192490",NA,NA
"745","gMnLb1","Potree",NA,NA,NA,NA
"746","PhTbBl","potree: WebGL point cloud viewer for large datasets",NA,NA,NA,NA
"747","uJveq7","Praat","1290","Q378530","Q1783551","https://vocabs.dariah.eu/tadirah/converting"
"748","uJveq7","Praat","1290","Q378530","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"749","uJveq7","Praat","1290","Q378530","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"750","uJveq7","Praat","1290","Q378530","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"751","uJveq7","Praat","1290","Q378530","Q1172378","https://vocabs.dariah.eu/tadirah/dataCleansing"
"752","uJveq7","Praat","1290","Q378530","Q12713609","https://vocabs.dariah.eu/tadirah/imaging"
"753","uJveq7","Praat","1290","Q378530","Q207714","https://vocabs.dariah.eu/tadirah/transcribing"
"754","uJveq7","Praat","1290","Q378530","Q123751127","https://vocabs.dariah.eu/tadirah/structuralAnalysis"
"755","uJveq7","Praat","1290","Q378530","Q13557414","https://vocabs.dariah.eu/tadirah/recording"
"756","hANaOA","Prefuse","360","Q9062212","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"757","hANaOA","Prefuse","360","Q9062212","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"758","hANaOA","Prefuse","360","Q9062212","Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"759","keVWdU","Prepare and Visualize Mallet Topics","1505",NA,"Q1116876","https://vocabs.dariah.eu/tadirah/modeling"
"760","keVWdU","Prepare and Visualize Mallet Topics","1505",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"761","keVWdU","Prepare and Visualize Mallet Topics","1505",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"762","keVWdU","Prepare and Visualize Mallet Topics","1505",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"763","keVWdU","Prepare and Visualize Mallet Topics","1505",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"764","keVWdU","Prepare and Visualize Mallet Topics","1505",NA,"Q15756478","https://vocabs.dariah.eu/tadirah/interpreting"
"765","Wocn8v","Preservation and Archiving Special Interest Group (PASIG), Change (Y)our World",NA,NA,NA,NA
"766","dxdK6g","Pressbooks","191","Q85794420","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"767","dxdK6g","Pressbooks","191","Q85794420","Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"768","dxdK6g","Pressbooks","191","Q85794420","Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"769","dxdK6g","Pressbooks","191","Q85794420","Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"770","dxdK6g","Pressbooks","191","Q85794420","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"771","P4IcYy","Prezi",NA,NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"772","P4IcYy","Prezi",NA,NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"773","P4IcYy","Prezi",NA,NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"774","jinyIc","Prism","288",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"775","jinyIc","Prism","288",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"776","jinyIc","Prism","288",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"777","jinyIc","Prism","288",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"778","jinyIc","Prism","288",NA,"Q275969","https://vocabs.dariah.eu/tadirah/crowdsourcing"
"779","jinyIc","Prism","288",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"780","Q3anVk","Prismatic","797","Q7245690","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"781","Q3anVk","Prismatic","797","Q7245690","Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"782","Q3anVk","Prismatic","797","Q7245690","Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"783","LScKX7","Processing","130",NA,"Q80006","https://vocabs.dariah.eu/tadirah/programming"
"784","LScKX7","Processing","130",NA,"Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"785","LScKX7","Processing","130",NA,"Q1116876","https://vocabs.dariah.eu/tadirah/modeling"
"786","LScKX7","Processing","130",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"787","LScKX7","Processing","130",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"788","LScKX7","Processing","130",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"789","V232Yl","ProcessingJS","380",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"790","V232Yl","ProcessingJS","380",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"791","V232Yl","ProcessingJS","380",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"792","t5aEBn","Profiler Plus","257",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"793","t5aEBn","Profiler Plus","257",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"794","ZJRA5G","ProIcon","492",NA,"Q80006","https://vocabs.dariah.eu/tadirah/programming"
"795","ZJRA5G","ProIcon","492",NA,"Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"796","bNB444","Project Pad","1103",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"797","bNB444","Project Pad","1103",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"798","bNB444","Project Pad","1103",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"799","bNB444","Project Pad","1103",NA,"Q110484020","https://vocabs.dariah.eu/tadirah/writing"
"800","bNB444","Project Pad","1103",NA,"Q352842","https://vocabs.dariah.eu/tadirah/teaching"
"801","G9maq7","Project Quincy","515",NA,"Q4417999","https://vocabs.dariah.eu/tadirah/networkAnalysis"
"802","G9maq7","Project Quincy","515",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"803","G9maq7","Project Quincy","515",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"804","G9maq7","Project Quincy","515",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"805","4iYxo7","Projects","890",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"806","4iYxo7","Projects","890",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"807","4iYxo7","Projects","890",NA,"Q189439","https://vocabs.dariah.eu/tadirah/versioning"
"808","f268U8","project-specific EAD customization template",NA,NA,NA,NA
"809","n6OzHE","Prolog","494",NA,"Q80006","https://vocabs.dariah.eu/tadirah/programming"
"810","n6OzHE","Prolog","494",NA,"Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"811","n6OzHE","Prolog","494",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"812","n6OzHE","Prolog","494",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"813","SfMCVf","Proofread Page","1134","Q21678097",NA,NA
"814","NMYNW0","ProProfs eLearning Software","866",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"815","NMYNW0","ProProfs eLearning Software","866",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"816","NMYNW0","ProProfs eLearning Software","866",NA,"Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"817","HLpJ1r","ProProfs Knowledgebase Software","864",NA,NA,NA
"818","R9wOYK","PRORA","317",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"819","ogL1S0","Prose (Virtual Muse)","245",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"820","ogL1S0","Prose (Virtual Muse)","245",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"821","ki5rOE","Prospect","1534",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"822","ki5rOE","Prospect","1534",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"823","ki5rOE","Prospect","1534",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"824","ki5rOE","Prospect","1534",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"825","gtqUz8","Prospéro (PROgramme de Sociologie Pragmatique, Expérimentale et Réflexive sur Ordinateur)","471",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"826","gtqUz8","Prospéro (PROgramme de Sociologie Pragmatique, Expérimentale et Réflexive sur Ordinateur)","471",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"827","gtqUz8","Prospéro (PROgramme de Sociologie Pragmatique, Expérimentale et Réflexive sur Ordinateur)","471",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"828","JuW2vQ","Protégé","933","Q2066865","Q3265221","https://vocabs.dariah.eu/tadirah/identifying"
"829","UP9oZh","Pro Tools","1261","Q247670","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"830","UP9oZh","Pro Tools","1261","Q247670","Q194105","https://vocabs.dariah.eu/tadirah/editing"
"831","UP9oZh","Pro Tools","1261","Q247670","Q123783459","https://vocabs.dariah.eu/tadirah/designing"
"832","qDX6aU","Protovis","1061","Q16634747","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"833","qDX6aU","Protovis","1061","Q16634747","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"834","qDX6aU","Protovis","1061","Q16634747","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"835","vjNu2o","Proxémie","1075","Q171755",NA,NA
"836","sSy5hU","Ptolemaic","877",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"837","sSy5hU","Ptolemaic","877",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"838","sSy5hU","Ptolemaic","877",NA,"Q12713609","https://vocabs.dariah.eu/tadirah/imaging"
"839","sSy5hU","Ptolemaic","877",NA,"Q123751127","https://vocabs.dariah.eu/tadirah/structuralAnalysis"
"840","gOzCkF","Pulse Work","767",NA,NA,NA
"841","VOFOGx","Pundit","170",NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"842","VOFOGx","Pundit","170",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"843","VOFOGx","Pundit","170",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"844","VOFOGx","Pundit","170",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"845","b83DlM","Purdue OWL","1183",NA,NA,NA
"846","VgJbk7","PyBossa","958",NA,NA,NA
"847","a5PLbJ","Pycoon","1208",NA,"Q123819227","https://vocabs.dariah.eu/tadirah/creating"
