"id.tapor","label","description","id.wikidata","label.clean"
1496,"Adobe Photoshop Express","Photoshop Express allows simple web-based image editing and cloud storage (2 GB free via Adobe Revel), as well as video storage and streaming, slideshow templates, and a photo gallery. Features include online galleries and slideshows, exporting and searching images, and privacy settings. Android, Windows and iOS (including iPad) apps are available.","Q360363","Adobe Photoshop Express"
764,"Adobe Photoshop Lightroom","Adobe Photoshop Lightroom is a photo processor and image organizer developed by Adobe Systems for Windows and OS X. It allows viewing, organizing and retouching a large number of digital images. Lightroom's edits are non-destructive. However, despite sharing name with Adobe Photoshop, it is incapable of performing many of Photoshop functions such as doctoring (adding, removing or altering the appearance of individual image items), rendering text or 3D objects on images or modifying individual video frames.","Q360403","Adobe Photoshop Lightroom"
940,"Advene","The cross-platform Advene application allows users to easily create comments and analyses of video documents, through the definition of time-aligned annotations and their mobilisation intoautomatically-generated or user-written comment views (HTML documents). Annotations can also be used to modify the rendition of the audiovisual document, thus providing virtual montage, captioning, navigation... capabilities. Users can exchange their comments/analyses in the form of Advene packages, independently from the video itself.The Advene framework provides models and tools allowing to design and reuse annotations schemas; annotate video streams according to these schemas; generate and create Stream-Time Based (mainly video-centred) or User-Time Based (mainly text-centred) visualisations of the annotations. Schemas (annotation- and relation-types), annotations and relations, queries and views can be clustered and shared in units called packages. Hypervideo documents are generated when needed, both from packages (for annotation and view description) and DVDs (audiovisual streams).","Q105848625","Advene"
780,"Aelfred","Aelfred is a bare-bones Java XML parser. It has not been updated since 2002, and is dependent on JDK 1.4, which is very outdated.",NA,"Aelfred"
874,"Aeon Timeline","Aeon Timeline is more like an abstract temporal entity management program. I t happens to use a visual timeline, but it allows for conceptual linking of people, places, events in a rather clever fashion. It is intended for brainstorming and collecting via flexible input and export. With Aeon, you can divide your timeline into logical groups, projects, or concurrent arcs. You can model the relationships between events and people, places and ideas. Aeon calculates people's ages for you. And you can link your events with research material such as external files or images that can be displayed inside the application.",NA,"Aeon Timeline"
1439,"Afloat","Afloat is a utility that adds new window management functionality to OSX, including keeping a window on top, or turning a window into an overlay on the screen. This can be particularly useful in full-screen view (e.g. during a presentation) when you want to keep another small window, such as a Twitter client, visible somewhere on the screen.",NA,"Afloat"
66,"Aggregator - Other (TAPoRware)","This tool aggregates texts/subtexts from different locations into a single text. The original texts can be from a user-specified web page or files located on one's computer. Aggregating subtexts requires all documents to share a common subtext tag, such as the <body> tag. The aggregator tool will grab the contents from the texts to form a single new text.",NA,"Aggregator - Other \(TAPoRware\)"
1635,"Alfresco","This is cloud-native Enterprise content management (ECM) with which you can manage content from anywhere, connect information with users everywhere and deliver apps to any device. Alfresco enables businesses to increase worker productivity, govern valuable information and deliver exceptional customer experiences.","Q946976","Alfresco"
487,"ALGOL","ALGOL (Algorithmic Language) was a programming language developed in the mid 1950s and often discussed in relation to humanities research applications, such as concordances or computational linguistics.","Q188436","ALGOL"
1029,"All Our Ideas","All Our Ideas is a research project that seeks to develop a new form of social data collection by combining the best features of quantitative and qualitative methods. Using the power of the web, we are creating a data collection tool that has the scale, speed, and quantification of a survey while still allowing for new information to \"bubble up\" from respondents as happens in interviews, participant observation, and focus groups.",NA,"All Our Ideas"
1686,"All Our Ideas","All Our Ideas is a research project that seeks to develop a new form of social data collection by combining the best features of quantitative and qualitative methods. Using the power of the web, we are creating a data collection tool that has the scale, speed, and quantification of a survey while still allowing for new information to \"bubble up\" from respondents as happens in interviews, participant observation, and focus groups.",NA,"All Our Ideas"
